MARKET_PLACE,Product_code,Segment,Customer_Site_ID
GREATER CAPITAL,F1,Seg 1-3,968319
GREATER CAPITAL,F1,Seg 1-3,968320
GREATER CAPITAL,F1,Seg 1-3,968320
GREATER CAPITAL,F1,Seg 1-3,968322
INDIANA KENTUCKY,D3,Seg 1-3,968372
GREATER CAPITAL,D3,Seg 1-3,968373
GREATER CAPITAL,D3,Seg 1-3,968373
GREATER CAPITAL,D2,Seg 1-3,968390
INDIANA KENTUCKY,D1,Seg 1-3,968917
GREATER PHILADELPHIA,D3,Seg 1-3,969019
GREATER CAPITAL,D3,Seg 1-3,969089
ROCKY MOUNTAIN,F1,Seg 1-3,969146
ROCKY MOUNTAIN,F1,Seg 1-3,969146
ROCKY MOUNTAIN,D5,Seg 4-6,969289
ROCKY MOUNTAIN,D5,Seg 4-6,969289
GREATER CAPITAL,F1,Seg 1-3,969305
ROCKY MOUNTAIN,D2,Seg 1-3,969342
GREATER CAPITAL,D3,Seg 1-3,969655
GREATER CAPITAL,D1,Seg 1-3,969655
GREATER CAPITAL,F1,Seg 1-3,969655
GREATER CAPITAL,F1,Seg 1-3,969655
GREATER CAPITAL,F1,Seg 1-3,969655
NORTH CENTRAL CALIFORNIA,A1,Seg 1-3,969784
NORTH CENTRAL CALIFORNIA,A2,Seg 1-3,969784
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,969784
NORTH CENTRAL CALIFORNIA,F1,Seg 1-3,969784
GREATER PHILADELPHIA,D1,Seg 1-3,970054
GREATER CAPITAL,D1,Seg 1-3,970107
NEW YORK,D2,Seg 1-3,970204
PACIFIC NORTHWEST,A4,Seg 4-6,970284
PACIFIC NORTHWEST,A4,Seg 4-6,970284
GREATER CAPITAL,D1,Seg 1-3,970504
INDIANA KENTUCKY,A1,Seg 1-3,970753
GREATER CAPITAL,D2,Seg 1-3,970762
GREATER CAPITAL,D2,Seg 1-3,970762
INDIANA KENTUCKY,A1,Seg 1-3,971127
ROCKY MOUNTAIN,F1,Seg 1-3,971169
PACIFIC NORTHWEST,D2,Seg 1-3,971250
MINNESOTA IOWA,A4,Seg 4-6,971328
GREATER PHILADELPHIA,D3,Seg 1-3,971353
GREATER CAPITAL,D2,Seg 1-3,971363
GREATER CAPITAL,A1,Seg 1-3,971367
GREATER CAPITAL,D4,Seg 4-6,971387
GREATER CAPITAL,D2,Seg 1-3,971428
NORTH CENTRAL CALIFORNIA,F1,Seg 1-3,971487
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,971487
GREATER CAPITAL,A2,Seg 1-3,971497
BAY AREA,A2,Seg 1-3,971634
GREATER PHILADELPHIA,D4,Seg 4-6,971834
GREATER PHILADELPHIA,D4,Seg 4-6,971834
GREATER PHILADELPHIA,D4,Seg 4-6,971858
